8000 300 240 
189 286 1 0
38 35 1 0
75 268 1 0
22 11 1 0
20 72 1 0
102 255 1 0
93 256 1 0
12 40 1 0
2 9 1 0
66 249 1 0
211 267 1 0
175 185 1 0
128 277 1 0
153 223 1 0
172 76 1 0
239 79 1 0
194 120 1 0
16 67 1 0
125 257 1 0
102 282 1 0
226 122 1 0
208 157 1 0
208 95 1 0
189 286 1 0
170 209 1 0
138 139 1 0
153 120 1 0
219 176 1 0
161 100 1 0
151 229 1 0
127 120 1 0
158 122 1 0
222 129 1 0
40 269 1 0
156 226 1 0
88 299 1 0
190 115 1 0
101 264 1 0
239 84 1 0
1 59 1 0
47 14 1 0
199 289 1 0
70 49 1 0
140 275 1 0
4 22 1 0
148 221 1 0
128 108 1 0
139 140 1 0
12 54 1 0
5 68 1 0
86 286 1 0
8 243 1 0
36 222 1 0
127 106 1 0
44 97 1 0
233 131 1 0
15 77 1 0
15 291 1 0
203 294 1 0
215 239 1 0
116 15 1 0
7 128 1 0
224 247 1 0
230 156 1 0
63 107 1 0
28 156 1 0
180 106 1 0
235 174 1 0
57 50 1 0
231 214 1 0
48 97 1 0
96 195 1 0
162 99 1 0
158 72 1 0
9 242 1 0
31 40 1 0
204 169 1 0
46 293 1 0
20 47 1 0
131 243 1 0
160 103 1 0
211 246 1 0
166 120 1 0
16 298 1 0
32 225 1 0
101 16 1 0
65 42 1 0
170 67 1 0
191 35 1 0
53 290 1 0
213 257 1 0
74 274 1 0
108 231 1 0
187 81 1 0
168 191 1 0
193 46 1 0
70 192 1 0
153 89 1 0
223 216 1 0
225 290 1 0
48 144 1 0
9 142 1 0
235 185 1 0
168 204 1 0
212 106 1 0
12 192 1 0
46 208 1 0
111 0 1 0
83 204 1 0
111 220 1 0
152 192 1 0
81 231 1 0
27 134 1 0
21 61 1 0
106 74 1 0
221 186 1 0
162 279 1 0
7 254 1 0
172 68 1 0
136 110 1 0
60 80 1 0
12 101 1 0
202 222 1 0
186 191 1 0
8 247 1 0
212 88 1 0
147 226 1 0
37 15 1 0
167 46 1 0
109 88 1 0
195 17 1 0
138 51 1 0
108 242 1 0
100 267 1 0
152 52 1 0
202 238 1 0
230 90 1 0
120 253 1 0
26 216 1 0
177 13 1 0
24 6 1 0
144 23 1 0
192 179 1 0
198 254 1 0
210 164 1 0
217 280 1 0
218 32 1 0
29 196 1 0
110 202 1 0
27 46 1 0
213 163 1 0
96 201 1 0
136 8 1 0
193 295 1 0
218 274 1 0
151 235 1 0
72 30 1 0
218 150 1 0
230 247 1 0
39 47 1 0
11 231 1 0
48 142 1 0
152 243 1 0
208 19 1 0
205 240 1 0
192 68 1 0
217 126 1 0
5 93 1 0
171 82 1 0
16 283 1 0
212 120 1 0
117 260 1 0
27 201 1 0
12 131 1 0
205 7 1 0
225 158 1 0
162 206 1 0
21 191 1 0
39 5 1 0
152 97 1 0
107 270 1 0
118 38 1 0
191 297 1 0
32 218 1 0
24 38 1 0
44 185 1 0
184 48 1 0
164 123 1 0
80 191 1 0
97 237 1 0
10 52 1 0
161 260 1 0
235 188 1 0
96 239 1 0
4 152 1 0
70 47 1 0
94 252 1 0
170 181 1 0
103 273 1 0
7 279 1 0
54 122 1 0
134 29 1 0
71 289 1 0
46 134 1 0
9 131 1 0
147 278 1 0
26 78 1 0
21 70 1 0
219 108 1 0
221 178 1 0
223 253 1 0
130 254 1 0
181 9 1 0
237 115 1 0
229 55 1 0
106 294 1 0
34 186 1 0
17 258 1 0
142 111 1 0
210 200 1 0
208 140 1 0
158 232 1 0
126 38 1 0
132 60 1 0
205 176 1 0
5 168 1 0
111 97 1 0
73 295 1 0
173 270 1 0
46 180 1 0
9 104 1 0
23 291 1 0
229 176 1 0
57 194 1 0
171 36 1 0
205 133 1 0
103 6 1 0
14 262 1 0
165 1 1 0
172 239 1 0
86 14 1 0
85 50 1 0
122 65 1 0
62 188 1 0
184 247 1 0
